14,81,2196.83,-120.719,-879.673,1459.85,1380.76,9.31323e-10
14,111,827.118,249.106,-761.819,153.242,134.978,0
14,111,1369.71,-369.826,-117.854,1306.61,134.978,0
20,81,1657.52,1212.98,148.145,818.502,764.299,0
20,111,461.261,394.99,191.558,-42.7879,134.978,0
20,111,1196.26,817.988,-43.4123,861.29,134.978,0
35,81,4072.28,3418.64,-1942.09,-677.526,815.854,0
35,111,3768.84,3268.41,-1804.35,-497.761,134.978,1.86265e-09
35,111,303.444,150.232,-137.746,-179.765,134.978,0
53,81,2411.47,-1363.51,1548.71,938.185,823.003,-9.31323e-10
53,111,324.022,55.2796,267.019,111.429,134.978,0
53,111,2087.45,-1418.79,1281.7,826.756,134.978,0
